lm,item,hypothesis_id,hypothesis_instance,adaptation_dative,best_lr,best_val_performance,best_epoch,initial_delta,initial_do_pref,initial_do_mean,initial_pp_mean,final_delta,final_do_pref,final_do_mean,final_pp_mean,best_delta,best_do_pref,best_do_mean,best_pp_mean
raw,109,22,4,pp,0.1,1.292982953389485,70,-0.4599194594791957,0.1357142857142857,-7.507394807679312,-7.047475348200117,-1.030820836339678,0.07428571428571429,-7.774876021657671,-6.744055185317993,-1.030820836339678,0.07428571428571429,-7.774876021657671,-6.744055185317993
raw,110,22,5,do,0.1,1.9465218718846646,70,-0.45929762704031807,0.1357142857142857,-7.50593122277941,-7.046633595739092,-0.5423778799601964,0.13714285714285715,-6.391049748829433,-5.8486718688692365,-0.5423778799601964,0.13714285714285715,-6.391049748829433,-5.8486718688692365
raw,110,22,5,pp,0.1,1.6205622911453252,53,-0.45882696832929337,0.13428571428571429,-7.506868120602199,-7.048041152272906,-0.8791910975319999,0.07571428571428572,-5.5497667172976906,-4.670575619765691,-0.9017593812942505,0.08285714285714285,-5.618226333345686,-4.7164669520514355
raw,111,23,1,pp,0.1,0.5799399407704673,70,-0.46008151122501917,0.1357142857142857,-7.510022390229361,-7.0499408790043425,-0.9314662132944379,0.14857142857142858,-6.613702684811184,-5.682236471516745,-0.9314662132944379,0.14857142857142858,-6.613702684811184,-5.682236471516745
raw,111,23,1,do,0.05,-0.23212017218271885,5,-0.458232102394104,0.13714285714285715,-7.505129862512861,-7.046897760118757,-0.18713103294372557,0.4014285714285714,-7.06524325302669,-6.878112220082964,-0.248934702532632,0.2642857142857143,-5.600089350087302,-5.35115464755467
raw,112,23,2,pp,0.1,1.4186746311187743,56,-0.459670387676784,0.1357142857142857,-7.504812711988176,-7.045142324311393,-0.9662300654820033,0.04857142857142857,-6.665446738856179,-5.699216673374176,-0.9046330921990531,0.05714285714285714,-6.1649688294955665,-5.260335737296513
raw,112,23,2,do,0.1,0.686178889274597,35,-0.45970227922712054,0.1357142857142857,-7.506431022371564,-7.046728743144444,-0.8620494624546596,0.08714285714285715,-8.470125670433044,-7.608076207978385,-0.9034483981132507,0.08285714285714285,-7.790857637950352,-6.887409239837101
raw,113,23,3,pp,0.1,2.3487564627329505,62,-0.4582189634868077,0.1357142857142857,-7.503817578724452,-7.045598615237645,-1.0903658785138812,0.1,-6.933478833266667,-5.843112954752786,-1.3200964900425503,0.07714285714285714,-8.612732058252607,-7.2926355682100565
raw,113,23,3,do,0.05,0.04803300857544013,70,-0.46063606330326623,0.1357142857142857,-7.50902501991817,-7.048388956614903,-0.46951808520725796,0.2757142857142857,-7.514255661964416,-7.044737576757159,-0.46951808520725796,0.2757142857142857,-7.514255661964416,-7.044737576757159
raw,114,23,4,pp,0.1,1.6972573852539057,19,-0.4592108310971941,0.1357142857142857,-7.508756392342704,-7.04954556124551,-0.8590590957232884,0.13714285714285715,-6.484912673405239,-5.6258535776819505,-0.711308753831046,0.08714285714285715,-5.363371664115361,-4.6520629102843145
raw,114,23,4,do,0.01,-0.5050057109196979,65,-0.4587354326248169,0.1357142857142857,-7.5092151423863,-7.0504797097614835,-0.11682986770357405,0.38857142857142857,-6.044100010735648,-5.927270143032074,-0.11208055359976632,0.38285714285714284,-6.062314527715955,-5.950233974116189
raw,115,23,5,do,0.01,-0.3467060947418208,17,-0.4594033234460013,0.1357142857142857,-7.505206264087132,-7.04580294064113,0.02559758867536272,0.5128571428571429,-5.597205968584333,-5.6228035572596955,-0.12256612641470772,0.3942857142857143,-5.76672429391316,-5.6441581674984524
